Address,beforeDOTA,afterDOTA,status
12hCcj6gkKC1LJPQG2AKU2Xp8VRypEAyLnrkjnxSaxpbqVbr,20.72,0.0,Old
164yoc7M6Pnaur66rV2Q2VR8QrvEPjUW29Av2vYGD5nYBHiM,0.0,16.19,New
13b3vRfCRTHheRwXMqb7pRUpAKs6R7tcCMhxE1XEuqeePxjZ,0.0,154.38,New
1KWk9PKg1N8pko25MHRGTogWgc8qwEFACJq8dYtZ9afGtzV,0.0,71.97,New
15GZK7ijqZwv7xPEPs8pAQjMB1oczwWqicV9sPnwzVxXfXWi,0.0,21.66,New
13TYbKHQDj7aymbgpvaySYY8KLdXic1LR6t2DuNZLbQcZ3cd,5.52,1.01,Old
15Q2JhtdSPKoU4C7rDvA4yMAqhDsoXxZpbJ9kgTvRYUtS7zh,0.0,55.07,New
16aVEs2QBQtFdXJfJAy3BKjRsF9yenmNWLemSz8dzRqfJKz7,0.0,11.02,New
148V5kXsaxH5mDxJr1HH2CFExhR5vMHmfSqnzWydKEywTswU,0.0,11.02,New
155VUrnw5FB7G9LxQGExjnSywxykkmFJytYoDwcLX5BQjECS,0.0,11.02,New
1TbnmCh9bMR4QDBsXgfhMdUfsH8LonkPszaUsPUYiq6QnvW,0.0,11.02,New
15csjRhbkRPA2h8YrxE31XxPQJzn6xAYNwopwnhgTXLzSFbW,0.0,11.02,New
162XYByRAELMWtL2bbYJHsRLsnAy8qtCepv1SDbcBw8gXrbA,0.0,11.02,New
15EADjZkn3b7PjCUxYZBsgvm8ANVnEaAVp21tiekxTWEQWha,0.0,11.02,New
15Fy7R7bPDkJa8jsHPeu18F5gGBYCByQU3QUqMgzDKVWkfKh,0.0,3.32,New
143fb2WPncVyoLgvFbSSa1w1TncPA9SxKG2x3rDBE8NMRHo2,0.0,11.02,New
15mXncj4nfecGtzwxyMRhZ5u6xBbK5sHRkt8UxXi758YPxYp,0.0,11.02,New
15vtBXenkcWz684eqAMS3ReqvdN5eGMmvxrxqrgnysNqwvFa,0.0,11.02,New
12Kuof67oPSW9zmM1KnLKnuCJMh2mTeuFh7HjrzTEKTX3UQQ,0.0,19.46,New
12gxYJxZezpJainJFBqkW6Pa1TQc8yZqWCUeWga9P39jpS9M,0.0,26.75,New
15tjQ5GETdhdDiKCRtGjkyxyqK367CcUtTdjaegUFYuUxxM2,4.93,10.64,Old
1N2JV4jWfrhxXZRf3SaZeZVzBQCao1579tz1nPB4c6PX3nk,0.0,1.0,New
15ZuJswYxKJNgcqaPpAyZtU81snvsmKvgmHiASYAUU6GQiLV,0.0,1.14,New
15D7k7YSp5buDQ8v6hmpYeMHddLpkEFXRKav5fKrwPQPr7TV,0.0,1.01,New
12WN64Kq6M8LNSwyEPBvFp7VKfoeTqYXstp9bAbpVdDmGbts,0.0,30.86,New
16k6CrapgLc1TVtkw7PJssHmyVGWqc6yeSeVzDDfFvRqsTDJ,0.0,32.34,New
12eevMp1tu9WcHHkfccEzhhmDNGwnomecW2KCXMi5wFBkkoc,0.0,16.66,New
146dTMf78rU9xT6mz1dfYTShQXpmnjndnLk9JJCFdWjgmxKx,0.0,59.2,New
12QKy5RC37rYimit8WJ4F8pdhD38zBbswzk5mkVTwScSh7R4,0.0,48.2,New
15D9H6HEtvCd8toMiiWZfUEpaSZ7jNgrpvANkLWNSSPge1EV,0.0,0.0,Old
12rxwRaSEz9Pd5Xa9RpD3QPa7QrzSHcxcb3ZZ1iftfdCiLki,0.0,57.67,New
13ageBKac11q2roY2ZHtSAtQDA2tdLKqsBDJ6ogS69P7WsuK,0.0,1.21,New
148JrdrckYG62p9sPWjFpoKkZZ19KsGHLibgzvCWcyTL7CC4,0.0,1.19,New
12ozh5zErGGhREwKYCbLmWdtH8XdQRgbBF8oMu75rtLpicNx,0.0,66.16,New
13wyDVBJQL3SV4aroUXDWw7UKTyopabs7GGrNhi8zgaSgic5,0.0,498.94,New
14YQURJjF4weiVXYDhBKCjQSKUgEisLUx4LE8iGPuMtNQ9G4,0.0,873.43,New
1583V38maM1tXoMbudcFHBPjnQgwT7R8WvrFgrsKFc8iKEuv,0.0,1.04,New
175RA9GTGnLtvBqHkM2v9Y1D7wdmLYvgDx1sDvAUmNeP4fn,0.0,1.12,New
14Viqc8gVXxYWqrN65Pn73bUebHXRWX5N6agzekmxWPocJ5n,0.0,1.14,New
14tcd9wduKm27k6PM73NU7Zy6FTy9giejiGSjoMTgA6vT5ad,0.0,1.14,New
16fZ6EYTsJJCw16X6GSn3NqmM2CvxYtspte5NgFNAQZ4Yk1Z,0.0,1.14,New
14iSf212TBpYHLgFVP3uToMG6fRLT3LtB5XE2wx6gzTTEVB,0.0,1.14,New
12GfanfrvSmixwXg4qhmwTSY6ngVVKk5U7gutJVdSBTjv93e,0.0,1.14,New
16PuCyquF1QbNYCVHUQ3Tsst2N4hczhypSNbe2X5N8gQexgi,0.0,1.14,New
14kudzPq19tFJCnJD7UG3YotU2mGm2VmpKvW2515LhBqNBVa,0.0,1.14,New
14s4rDsArDTCDaZrmUGovEk4ZGj5FXQuPW3CqrvQ45rxBJLt,0.0,1.14,New
168LpvUGf5XUqt3BZHp2PdrUYzrsgwxZzE2sKfcWHofNsSsV,0.0,1.01,New
16A8fMQwZXLDihjfFyQAc6TNS6JJCgE3BBpWUtnfh8UF13Wy,0.0,1.28,New
162kbbT2B2Fw92JvjaFo5rHSLLwh1XS9xQJVatbJtwmT3R6N,0.0,1.26,New
168G71WJmwuacSuC23RLGiQiu98QupcexDsY39RDmVfEBd8U,0.0,145.63,New
136bigpSaPxtc5U6SPsDotzRDUv8ag7BiKm52iipeWQbiVn6,0.0,18.19,New
133JUZDoE1jYfN9wFLX4cqgh7TCSBcftCRfAPSKdfTA8E5XW,0.0,13.88,New
198aAeGZq61xkbkrjZw9kCZYfEER2dNnKqohh5s9S6rKUk4,0.0,111.42,New
1464kiT18g5L2sLW6hFZNYeuJSf1Dbroqa3AnAdEpMfwrFzx,0.0,1.0,New
139EZY8eUt38HEnZ89JVDyRrAe2epXxf2YS16Mb5FwqM3eNK,0.0,1.02,New
165MVWjqGJYMyob7RmvjKwahuXb6kyBt9wFaLvUWSsfBKsgV,0.0,1.61,New
1536HDKMcCWEkt5JN1VqDpLMsCuBDtN1gKjHTsbiZFSMdQKD,0.0,11.54,New
15S2JvdMkSFNtLX6B7TfhVjkSmZPSWeu8vcNK9gAW2Gma2up,0.0,5.44,New
12y49MHoYvp47qgfbeX84wjxGmZnKkyWqGCfvkHzSRmLVGx7,0.0,1.47,New
12jYk8tR8Q8mKZ6oE8c5XWM1suomRKoweUjkXcXTfpvLw9tw,0.0,21.1,New
1b9VR7B3yDDwVJ96ZZzNmV4Xiw23rxSSESaa8VaZaxCXA1y,0.0,19.67,New
15GE3MdLGZm6kuFNrfFJqVczAj3LBrpxyW1w3RwARMHscxoN,0.0,7.65,New
16cCYfwqAbyQaBXfbL2Zw469w4Gar4pauPGAVuMTpZKJcZ82,0.0,7.01,New
168ARUnquMEurJuFGwDmKEdmfQYQ8d425bH6vdkx1z54vPWv,0.0,7.94,New
1dqjYUzaaH8ZGwrC9ADgXjs4JHpDSrRpphyLrWbwZ7NUh5W,0.0,8.1,New
14T2eDh1HpHvS7pHczJFRecqZt42wA8ejNayzaaxJhRjXabf,0.0,5.4,New
12TQxuYYvmFXmBGrYZcqLkDMY5As8vHuNPZUvyYeQTBgrdtY,0.0,35.62,New
1vZsrZ8GroZmYjA2XiUvE3xaugND3ALfdKJ5jQZWrPUgbio,0.0,1.02,New
1RWWyENWhvshqhC2ytnCdk6dZmxvA78frKrzECvbrpWXvQB,0.0,10.65,New
16i5W2Mg6UNFh4FB3KJPUD9PZxyYAVgRMwen32LzGsCAZv3p,0.0,1.0,New
162KQxMfjfEnfS2iuwPgw8VxpXGwKUwNg2zeWLj8rVZZ1vQ2,5121.96,4669.9,Old
12e7vFYyK2JFvqmAgLtYA3ZEvZYhdnem7W4Jx9ik816pjzyL,0.0,1.0,New
13J1BPoukWwt2KHrw2hmLZ5XrqHbJ71iPERxp5SUWEP49XvH,0.0,16.33,New
15SfwsQHv4iYEtZx77WYpNZvNHAJZovvPiUDcogdaTA94kcQ,0.0,1.01,New
151aPLK6tv3v33Zv4JZnkzXvgb5uMnxJS548a8miAzqmkLL4,0.0,3.55,New
1733mkJpXfhVsFEzXX2HwsTTphovPNr8ufcSEBSphPUsrQs,0.0,0.0,Old
12gbKwwCM5CSGsXbEX22dAyKFUJLD7ZnE2Tb647Fi56v2mn8,0.0,335.6,New
12ty3yXN8f6j6sYEKLPdjDw4JusFxM8wkHq4jXmCCAokui8R,0.0,25.5,New
